"","year","county","waste_recycled_muni","locomobiles_density","automobiles_density","factory_density","urban_density","hospital_bed","rate_material_recov","employee_industrial","family_income","oral","breast","liver","ovarian","smoke","no2","co","lung","ozone","revenue","pm","so2"
"174",2007,"臺北市",42463.5,113.53,71.73,NA,3571.335,87.965,92.62,37.545,21.13,26.125,27,34.91,3.885,25.1404,12.55,0.44,38.06,1.5,209686,"63.2","4.36"
"175",2007,"臺南市",41261.3333333333,92.4366666666667,55.3966666666667,NA,3083.16,102.113333333333,95.0166666666667,33.5433333333333,21.3566666666667,30.33,28,36.8666666666667,4.24,25.4007333333333,12.3,0.456666666666667,39.4533333333333,1.33333333333333,208915.333333333,"122.3","7.73"
"176",2007,"臺東縣",40059.1666666667,71.3433333333333,39.0633333333333,NA,2594.985,116.261666666667,97.4133333333333,29.5416666666667,21.5833333333333,34.535,29,38.8233333333333,4.595,25.6610666666667,12.05,0.473333333333333,40.8466666666667,1.16666666666667,208144.666666667,"35.4","1.9"
"177",2007,"花蓮縣",38857,50.25,22.73,"0.08",2106.81,130.41,99.81,25.54,21.81,38.74,30,40.78,4.95,25.9214,11.8,0.49,42.24,1,207374,"61.3","2.2"
"178",2007,"苗栗縣",43201,182.85,104.02,"0.88",4977.78,60.3,95.03,45.6,22.9,20.89,26.24,49.63,4.11,25.6472,13.9,0.41,38.38,3,187217,"74.6","3.7"
"179",2007,"雲林縣",35105,363.45,176.67,"1.04",2837.63,47.18,100,33.55,24.44,39,23.29,73.86,3.17,21.8666,14.2,0.41,45.2,3,194342,"100.1","3.5"
"180",2007,"高雄市",345817,728.15,270.33,"2.0699999999999998",5891.93,73.55,100,37.21,28.37,30.85,35.26,59.71,5.17,20.21989257,20.1,0.54,41.99,17,474331,"54.3","3.05"
"181",2008,"南投縣",52778,83.77,44.71,"0.19",2259.82,61.65,99.98,28.62,18.3,36.48,30.65,48.71,3.95,20.4201,16.2,0.46,41.75,3,185904,"66","3.3"
"182",2008,"嘉義市",29041,3311.6,1369.33,"7.41",5016.65,148.25,100,26.9,23.91,33.97,41.64,69.03,5.48,16.7354,17.3,0.48,38.35,1,204870,"81.2","4.2"
"183",2008,"嘉義縣",33811,189.36,90.16,"0.85",1356.03,52.27,100,34.69,20.23,39.36,27.7,72.53,4.92,23.3079,12.3,0.35,61.6,2,197736,"80.3","3.6"
"184",2008,"基隆市",48335,1416.3,659.5,"1.75",5204.89,68.38,100,30.01,21.17,19.8,38.82,49.36,6.43,27.1285,13.6,0.43,50.39,1,229919,"92.3","3.3"
"185",2008,"宜蘭縣",58562,134.45,62.35,"0.4",3903.78,91.95,100,32.81,25.66,18.44,27.77,58.8,4.56,24.5702,10.5,0.39,54.46,2,209943,"75.9","5.63"
"186",2008,"屏東縣",64869,247.29,88.66,"0.31",2830.8,66.7,100,31.44,22.63,39.1,28.48,47.24,4.18,22.6179,9.5,0.35,37.86,4,198960,"47.5","3.5"
"187",2008,"彰化縣",108616,828.12,394.82,"7.19",4768.6,60.83,100,47.39,21.59,39,25.74,44.33,2.74,18.1913,16.5,0.39,49.36,3,179034,"76.3","3.9"
"188",2008,"新竹市",57610,2453.76,1233.32,"13.59",7421.66,59.53,100,42.14,23.63,16.77,36.76,43.91,4.93,18.7135,18.2,0.48,34.78,1,260760,"59","4.5"
"189",2008,"新竹縣",49027,184.45,121.47,"1.07",5109.98,45.03,100,50.76,19.92,14.11,26.43,32.59,3.78,26.0402,13,0.37,30.4,2,249368,"76.5","3.3"
"190",2008,"桃園市",47721.6666666667,162.293333333333,104.98,NA,4609.24833333333,59.1883333333333,99.9916666666667,46.4616666666667,20.3683333333333,18.4466666666667,27.8833333333333,34.5783333333333,3.93166666666667,25.3304166666667,12.7666666666667,0.385,31.825,1.83333333333333,238565.833333333,"90.9","3.52"
"191",2008,"臺中市",46416.3333333333,140.136666666667,88.49,NA,4108.51666666667,73.3466666666667,99.9833333333333,42.1633333333333,20.8166666666667,22.7833333333333,29.3366666666667,36.5666666666667,4.08333333333333,24.6206333333333,12.5333333333333,0.4,33.25,1.66666666666667,227763.666666667,"93.8","4.35"
"192",2008,"臺北市",45111,117.98,72,NA,3607.785,87.505,99.975,37.865,21.265,27.12,30.79,38.555,4.235,23.91085,12.3,0.415,34.675,1.5,216961.5,"68","4.08"
"193",2008,"臺南市",43805.6666666667,95.8233333333333,55.51,NA,3107.05333333333,101.663333333333,99.9666666666667,33.5666666666667,21.7133333333333,31.4566666666667,32.2433333333333,40.5433333333333,4.38666666666667,23.2010666666667,12.0666666666667,0.43,36.1,1.33333333333333,206159.333333333,"113.5","7.15"
"194",2008,"臺東縣",42500.3333333333,73.6666666666667,39.02,NA,2606.32166666667,115.821666666667,99.9583333333333,29.2683333333333,22.1616666666667,35.7933333333333,33.6966666666667,42.5316666666667,4.53833333333333,22.4912833333333,11.8333333333333,0.445,37.525,1.16666666666667,195357.166666667,"45.2","2.3"
"195",2008,"花蓮縣",41195,51.51,22.53,"0.08",2105.59,129.98,99.95,24.97,22.61,40.13,35.15,44.52,4.69,21.7815,11.6,0.46,38.95,1,184555,"51.3","2.1"
"196",2008,"苗栗縣",49732,189.36,103.77,"0.89",5005.24,64.26,100,47.24,22.18,22.66,30.34,51.04,3.75,24.3881,14.1,0.39,37.29,3,186899,"62.4","3.55"
"197",2008,"雲林縣",32576,371.73,176.02,"1.06",2960.11,49.08,100,33.15,28.66,38.42,21.14,84.98,3.87,22.0302,14,0.39,53.2,3,185866,"103.4","3.4"
"198",2008,"高雄市",390651,747.77,267.85,"2.08",6001.73,73.22,100,36.46,27.19,32.07,36.04,58.54,6.03,20.04670307,19.6,0.49,41.49,17,442905,"48.7","2.65"
"199",2009,"南投縣",52447,85.2,45.11,"0.2",2245.46,62.69,100,25.96,19.57,44.08,34.47,52.75,3.58,17.9646,15.9,0.46,45.4,3,188545,"73","3.1"
"200",2009,"嘉義市",35367,3374.99,1380.58,"7.18",5017.89,147.85,100,26.39,19.96,33.96,40.17,81.43,5.84,16.8607,17.6,0.46,48.93,1,189037,"87.6","4.1"
"201",2009,"嘉義縣",48207,192.13,90.93,"0.84",1361.26,59.89,100,31.73,17.14,44.55,25.93,81.25,3.83,19.0837,12.1,0.35,70.11,2,186647,"81","3.35"
"202",2009,"基隆市",59852,1436.97,661.33,"1.81",5196.08,68.47,100,28.57,18.72,28.33,40.17,55.11,5.92,26.1285,12.5,0.41,56.65,1,236579,"67.8","2.8"
"203",2009,"宜蘭縣",57447,136.63,63.23,"0.41",3698.83,91.44,100,31.31,14.35,20.58,34.01,47.87,5.85,20.5298,9.7,0.37,60.66,2,199812,"65.5","5.15"
"204",2009,"屏東縣",73855,251.27,88.9,"0.31",2805.83,68.09,100,30.29,24.77,37.05,32.97,55.74,4.19,17.3051,9.8,0.36,45.21,4,196139,"72.6","3.53"
"205",2009,"彰化縣",118848,839.87,398.4,"7.17",5619.33,60.19,100,46.33,21.35,39.85,31.7,50.82,4.57,19.3245,16.3,0.36,53.49,3,181867,"89","3.55"
"206",2009,"新竹市",51796,2518.78,1246.27,"13.05",7478.03,59.7,100,40.3,15.64,23.32,43.98,47.86,4.86,18.1968,17,0.46,32.56,1,274344,"61.4","3.2"
"207",2009,"新竹縣",51119,190,123.49,"1.07",5222.15,46.78,100,52.78,14.08,18.79,28.97,35.23,4.31,23.59,12.3,0.35,34.65,2,230293,"89.2","3.2"
"208",2009,"桃園市",49430.3333333333,167.045,106.686666666667,NA,4702.66333333333,60.6766666666667,100,47.9966666666667,14.3816666666667,23.1866666666667,28.7366666666667,38.255,4.08,23.55815,12.05,0.363333333333333,36.55,1.83333333333333,223110.666666667,"66","3.48"
"209",2009,"臺中市",47741.6666666667,144.09,89.8833333333333,NA,4183.17666666667,74.5733333333333,100,43.2133333333333,14.6833333333333,27.5833333333333,28.5033333333333,41.28,3.85,23.5263,11.8,0.376666666666667,38.45,1.66666666666667,215928.333333333,"95.1","3.95"
"210",2009,"臺北市",46053,121.135,73.08,NA,3663.69,88.47,100,38.43,14.985,31.98,28.27,44.305,3.62,23.49445,11.55,0.39,40.35,1.5,208746,"67.9","3.34"
"211",2009,"臺南市",44364.3333333333,98.18,56.2766666666667,NA,3144.20333333333,102.366666666667,100,33.6466666666667,15.2866666666667,36.3766666666667,28.0366666666667,47.33,3.39,23.4626,11.3,0.403333333333333,42.25,1.33333333333333,201563.666666667,"110.3","6.99"
