"","x","year","location","ann_avg_ozone","age_adj_lung"
"135",135,2017,"Chiayi City",28.1,38.66
"136",136,2017,"Chiayi County",32.51,39.56
"137",137,2017,"Keelung County",32.41,37.32
"138",138,2017,"Yilan County",30.4,37.85
"139",139,2017,"Pingtung County",33.79,32.29
"140",140,2017,"Changhua County",29.14,42.03
"141",141,2017,"New Taipei City",30.95,39.96
"142",142,2017,"Hsinchu City",30.45,38.29
"143",143,2017,"Hsinchu County",31.64,36.33
"144",144,2017,"Taoyuan City",31.89,35.68
"145",145,2017,"Taichung City",29.99,39.46
"146",146,2017,"Taipei City",27.13,41.09
"147",147,2017,"Tainang City",29.71,40.48
"148",148,2017,"Taitung County",24.26,37.12
"149",149,2017,"Hualien County",28.03,31.58
"150",150,2017,"Miaoli County",31.01,32.84
"151",151,2017,"Yunlin County",31.04,38.8
"152",152,2017,"Kaohsiung City",30.02,37.79
"153",153,2018,"Nantou County",25.98,33.18
"154",154,2018,"Chiayi City",28.87,44.31
"155",155,2018,"Chiayi County",32.13,42.21
"156",156,2018,"Keelung County",32.59,39.05
"157",157,2018,"Yilan County",30.87,41.12
"158",158,2018,"Pingtung County",34.12,36.12
"159",159,2018,"Changhua County",29.51,41.6
"160",160,2018,"New Taipei City",30.81,41.93
"161",161,2018,"Hsinchu City",28.86,42.97
"162",162,2018,"Hsinchu County",31.7,38.3
"163",163,2018,"Taoyuan City",31.78,39.55
"164",164,2018,"Taichung City",30.65,41.98
"165",165,2018,"Taipei City",27.75,39.08
"166",166,2018,"Tainang City",29.56,41.99
"167",167,2018,"Taitung County",24.52,38.93
"168",168,2018,"Hualien County",27.78,37.06
"169",169,2018,"Miaoli County",31.66,38.42
"170",170,2018,"Yunlin County",31.72,37.5
"171",171,2018,"Kaohsiung City",31.19,38.33
"172",172,2019,"Nantou County",25.93,33.56
"173",173,2019,"Chiayi City",28.63,48.38
"174",174,2019,"Chiayi County",30.82,39.19
"175",175,2019,"Keelung County",32.85,37.54
"176",176,2019,"Yilan County",30.47,38.54
"177",177,2019,"Pingtung County",35.65,33.58
"178",178,2019,"Changhua County",28.72,44.02
"179",179,2019,"New Taipei City",32,41.49
"180",180,2019,"Hsinchu City",32.02,46.49
"181",181,2019,"Hsinchu County",33.32,38.92
"182",182,2019,"Taoyuan City",32.28,38.12
"183",183,2019,"Taichung City",29.75,39.92
"184",184,2019,"Taipei City",29.06,41.16
"185",185,2019,"Tainang City",31.49,42.17
"186",186,2019,"Taitung County",26.08,36.94
"187",187,2019,"Hualien County",29.49,31.62
"188",188,2019,"Miaoli County",28.81,36.48
"189",189,2019,"Yunlin County",31.7,40.52
"190",190,2019,"Kaohsiung City",30.74,38.58
