"","year","county","waste_treatment","so2","ozone","pm_total","pm2.5","年齡標準化發生率.WHO.2000世界標準人口.(每10萬人口)","癌症發生數","平均年齡","年齡中位數","粗率.(每10萬人口)"
"67",2016,"南投縣","92.41","2.59","24.73","53.3",24.3,30.19,279,68.05,68,55.23
"68",2016,"嘉義市","100","3.14","26.28","58.6",27.3,40.7,178,66.92,66,65.96
"69",2016,"嘉義縣","100","2.81","29.34","41.4",25.3,39.95,408,69.41,70,79.17
"70",2016,"基隆市","100","2.47","29.5","42.3",15.7,35.39,224,68.42,68,60.2
"71",2016,"宜蘭縣","100","2.12","27.13","35",12.5,39.98,326,69.74,71.5,71.25
"72",2016,"屏東縣","99.92","2.14","32.1","53.2",17.3,32.89,492,68.25,68,58.87
"73",2016,"彰化縣","98.99","3.47","27.49","52.2",24.5,43.77,931,68.71,70,72.33
"74",2016,"新北市","100","2.9","27.46","39.7",18.7,39.61,2368,65.44,65,59.51
"75",2016,"新竹市","100","2.48","28.05","51.7",19.8,34.73,209,67.34,67,47.79
"76",2016,"新竹縣","97.59","2.56","29.68","51.9",17.9,34.58,269,66.31,66,49.13
"77",2016,"桃園市","96.56","3.5","27.63","50.7",19.9,35.76,1013,65.96,66,47.17
"78",2016,"澎湖縣","100","1.93","36.53","65.7",15.8,33.2,58,67.79,66,56.17
"79",2016,"臺中市","99.94","2.63","27.64","38.299999999999997",21.8,37.67,1464,66,66,52.9
"80",2016,"臺北市","100","2.69","24.77","39.1",15,37.21,1766,67.83,68,65.51
"81",2016,"臺南市","100","2.89","27.38","49.1",26.1,37.84,1173,66.62,67,62.19
"82",2016,"臺東縣","99.83","1.29","23.99","33.1",9.3,35.46,138,68.93,70.5,62.5
"83",2016,"花蓮縣","97.8","1.72","26.49","32.6",10.7,31.4,178,67.28,67.5,53.79
"84",2016,"苗栗縣","100","2.38","28.77","48.8",20.3,30.96,297,68.06,68,53.11
"85",2016,"連江縣","99.94","2.7","41.95","-",22,48.25,9,65.78,62,71.46
"86",2016,"金門縣","99.76","3.82","34.869999999999997","59.1",26.6,17.93,40,65.85,63,29.6
"87",2016,"雲林縣","95.35","2.93","28.16","49.6",28.5,37.94,493,69.01,70,70.95
"88",2016,"高雄市","100","4.51","27","57.8",24,35.85,1620,66.49,66,58.29
